time,latitude,longitude,depth,mag,place
2016-11-25T14:24:29.800Z,39.2378,74.0472,12.57,6.6,Tajikistan
2016-11-24T18:43:48.830Z,11.9597,-88.8355,10.34,7,El Salvador
2016-11-21T20:59:49.010Z,37.3917,141.4025,11.35,6.9,Japan
2016-11-20T20:57:43.980Z,-31.6428,-68.7645,115.79,6.4,Argentina
2016-11-14T00:34:22.530Z,-42.5856,173.2838,10,6.5,New Zealand
2016-11-13T13:31:26.630Z,-42.2914,173.6933,8.29,6.2,New Zealand
2016-11-13T11:52:45.040Z,-42.1774,173.6172,14.13,6.1,New Zealand
2016-11-13T11:32:08.970Z,-42.2379,173.6045,24,6.5,New Zealand
2016-11-13T11:02:59.070Z,-42.7249,173.0642,22,7.8,New Zealand
2016-11-11T21:42:59.300Z,38.4993,141.5611,44.83,6.2,Japan
2016-11-04T16:20:43.940Z,-35.1033,-70.9964,90.79,6.4,Chile
2016-10-30T06:40:19.200Z,42.8547,13.0884,10,6.6,Italy
2016-10-27T20:32:56.070Z,-33.7804,-72.5077,14.14,6,Chile
2016-10-26T19:18:08.410Z,42.9541,13.0639,10,6.1,Italy
2016-10-26T05:19:50.510Z,-15.54,-174.8724,10,6.1,Tonga
2016-10-21T05:07:23.010Z,35.3676,133.8148,5.7,6.2,Japan
2016-10-19T00:26:01.090Z,-4.8626,108.1627,614,6.6,Indonesia
2016-10-17T06:14:58.270Z,-6.0033,148.8871,42,6.8,Papua New Guinea
2016-10-15T08:03:38.140Z,-4.2701,150.3605,442,6.3,Papua New Guinea
2016-09-24T21:28:41.700Z,-19.7819,-178.2443,596.4,6.9,Fiji
2016-09-24T21:07:15.790Z,-18.1706,-174.984,202,6.4,Tonga
2016-09-23T22:53:10.400Z,6.5717,126.4918,65,6.3,Philippines
2016-09-23T00:14:34.700Z,34.4619,141.6368,10,6.2,Japan
2016-09-20T16:21:16.550Z,30.5017,142.0478,9,6.1,Japan region
2016-09-17T01:20:17.940Z,-2.0829,140.5718,9,6,Indonesia
2016-09-14T07:25:00.070Z,-9.329,159.1673,14,6,Solomon Islands
2016-09-14T01:58:31.570Z,7.3736,-76.1686,18,6,Colombia
2016-09-10T10:08:20.020Z,-5.573,-76.9536,121,6.1,Peru
2016-09-08T21:46:20.100Z,-54.6136,158.7126,10,6.1,Australia
2016-09-05T22:54:03.930Z,54.4153,168.5415,8,6.1,Russia
2016-09-01T17:14:06.060Z,-37.0522,178.9291,13.73,6.1,New Zealand
2016-09-01T16:37:57.300Z,-37.3586,179.1461,19,7,New Zealand
2016-08-31T03:11:34.420Z,-3.6849,152.7915,476,6.8,Papua New Guinea
2016-08-29T04:29:57.860Z,-0.0456,-17.8255,10,7.1,North of Ascension Island
2016-08-24T10:34:54.580Z,20.9228,94.569,82,6.8,Burma
2016-08-24T01:36:32.870Z,42.723,13.1877,4.44,6.2,Italy
2016-08-23T19:39:44.580Z,-7.2872,122.4345,533,6,Indonesia
2016-08-21T03:45:23.780Z,-55.3133,-31.7508,12,6.1,South Georgia Island region
2016-08-20T09:01:26.210Z,40.3942,143.6796,10,6,Japan
2016-08-19T07:32:22.710Z,-55.2852,-31.8766,10,7.4,South Georgia Island region
2016-08-18T18:09:43.940Z,-55.9035,-123.2414,10,6,Southern East Pacific Rise
2016-08-12T03:29:32.710Z,-25.1758,-177.3433,112.85,6.1,South of the Fiji Islands
2016-08-12T01:26:36.280Z,-22.4765,173.1167,16.37,7.2,New Caledonia
2016-08-04T16:24:33.530Z,24.9447,142.0141,510,6.3,Japan
2016-08-04T14:15:12.930Z,-22.3343,-66.0078,270,6.2,Argentina
2016-07-29T21:18:24.740Z,18.5429,145.5073,196,7.7,Northern Mariana Islands
2016-07-25T19:38:45.560Z,-2.969,148.0345,14,6.4,Papua New Guinea
2016-07-25T17:26:50.210Z,-26.1067,-70.5111,72,6.1,Chile
2016-07-20T15:13:16.520Z,-18.9285,169.0547,167,6.1,Vanuatu
2016-07-13T12:11:12.830Z,-28.0052,-176.443,12,6.3,New Zealand
2016-07-11T02:11:04.800Z,0.5812,-79.638,21,6.3,Ecuador
2016-07-10T13:44:40.680Z,-15.083,-173.2011,8,6,Tonga
2016-06-30T11:30:33.050Z,-16.0558,167.4701,27,6,Vanuatu
